name,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,lastName,experience,college,birthPlace,height_cm,team,hand
Jaylen Brown,s:40~l:46~a:3917376,0d5cde01f6d3225fdae544ef3304cda2,3917376,"6' 6""",223 lbs,25,SG,7,"$26,758,928",10/24/96,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,Jaylen Brown,5,California,"Marietta, GA",198.12,Boston Celtics,
Bruno Fernando,s:40~l:46~a:4277952,465ffa1c3052ed98de645faa61798a6d,4277952,"6' 9""",240 lbs,23,F,28,"$1,782,621",08/15/98,https://a.espncdn.com/i/headshots/nba/players/full/4277952.png,Bruno Fernando,2,Maryland,"Luanda, Angola",205.74,Boston Celtics,
Enes Freedom,s:40~l:46~a:6447,1e039b407b3daa6eeac69432aa6413fd,6447,"6' 10""",250 lbs,29,C,13,"$1,669,178",05/20/92,https://a.espncdn.com/i/headshots/nba/players/full/6447.png,Enes Freedom,10,Kentucky,"Zurich, Switzerland",208.28,Boston Celtics,
Sam Hauser,s:40~l:46~a:4065804,d8f2574fc194f40f679526ddea4c7166,4065804,"6' 7""",217 lbs,23,SF,30,0,12/08/97,https://a.espncdn.com/i/headshots/nba/players/full/4065804.png,Sam Hauser,0,Virginia,"Stevens Point, WI",200.66,Boston Celtics,
Juancho Hernangomez,s:40~l:46~a:4017839,bb4390fb76cd2f8189cf158d98d39ad3,4017839,"6' 9""",214 lbs,26,F,41,"$6,907,815",09/28/95,https://a.espncdn.com/i/headshots/nba/players/full/4017839.png,Juancho Hernangomez,5,,"Madrid, Spain",205.74,Boston Celtics,
Al Horford,s:40~l:46~a:3213,b79dd16a5d4bd7049b0ceaa9ec3df217,3213,"6' 9""",240 lbs,35,C,42,"$27,000,000",06/03/86,https://a.espncdn.com/i/headshots/nba/players/full/3213.png,Al Horford,14,Florida,"Puerto Plata, Dominican Republic",205.74,Boston Celtics,
Romeo Langford,s:40~l:46~a:4397008,75220698859cebd0a78dd7abedc92687,4397008,"6' 5""",216 lbs,22,SG,9,"$3,804,360",10/25/99,https://a.espncdn.com/i/headshots/nba/players/full/4397008.png,Romeo Langford,2,Indiana,"New Albany, IN",195.57999999999998,Boston Celtics,
Aaron Nesmith,s:40~l:46~a:4396909,524f7f01f97beff02090ba3212148d9e,4396909,"6' 5""",215 lbs,22,SF,26,"$3,631,200",10/16/99,https://a.espncdn.com/i/headshots/nba/players/full/4396909.png,Aaron Nesmith,1,Vanderbilt,"Charleston, SC",195.57999999999998,Boston Celtics,
Jabari Parker,s:40~l:46~a:3056600,5ed9bd98c83f2f8ecf16f243c39fb2f6,3056600,"6' 7""",245 lbs,26,PF,20,"$1,669,178",03/15/95,https://a.espncdn.com/i/headshots/nba/players/full/3056600.png,Jabari Parker,7,Duke,"Chicago, IL",200.66,Boston Celtics,
Payton Pritchard,s:40~l:46~a:4066354,930f5cd66d496508682419fc78e33a32,4066354,"6' 1""",195 lbs,23,PG,11,"$2,137,440",01/28/98,https://a.espncdn.com/i/headshots/nba/players/full/4066354.png,Payton Pritchard,1,Oregon,"West Linn, OR",185.42,Boston Celtics,
Josh Richardson,s:40~l:46~a:2581190,7b8ee798f436b91dfdb772f261ead3b1,2581190,"6' 5""",200 lbs,28,SG,8,"$11,615,328",09/15/93,https://a.espncdn.com/i/headshots/nba/players/full/2581190.png,Josh Richardson,6,Tennessee,"Edmond, OK",195.57999999999998,Boston Celtics,
Dennis Schroder,s:40~l:46~a:3032979,ed50e972a95d6b5c3fcd0d75616d1159,3032979,"6' 1""",172 lbs,28,PG,71,"$5,890,000",09/15/93,https://a.espncdn.com/i/headshots/nba/players/full/3032979.png,Dennis Schroder,8,,"Braunschweig, Germany",185.42,Boston Celtics,
Marcus Smart,s:40~l:46~a:2990992,f5096a5bcbc51d7fd40656c623c434e5,2990992,"6' 4""",220 lbs,27,PG,36,"$14,339,285",03/06/94,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,Marcus Smart,7,Oklahoma State,"Flower Mound, TX",193.04,Boston Celtics,
Jayson Tatum,s:40~l:46~a:4065648,ed3343b02ffaf6b4e4223a1920938c81,4065648,"6' 8""",210 lbs,23,SF,0,"$28,103,500",03/03/98,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,Jayson Tatum,4,Duke,"Saint Louis, MO",203.2,Boston Celtics,
Brodric Thomas,s:40~l:46~a:4407254,ddf293baf801e2eafbbd15126bfda58c,4407254,"6' 5""",185 lbs,24,G,97,0,01/28/97,https://a.espncdn.com/i/headshots/nba/players/full/4407254.png,Brodric Thomas,2,Truman State,"Bolingbrook, IL",195.57999999999998,Boston Celtics,
Grant Williams,s:40~l:46~a:4066218,3a93561dd9c3f1e8de40fbc7b40f7a5e,4066218,"6' 6""",236 lbs,23,PF,12,"$2,617,800",11/30/98,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,Grant Williams,2,Tennessee,"Charlotte, NC",198.12,Boston Celtics,
LaMarcus Aldridge,s:40~l:46~a:2983,29631eafe8b88faa1a1f8a02838a3d20,2983,"6' 11""",250 lbs,36,C,21,"$1,669,178",07/19/85,https://a.espncdn.com/i/headshots/nba/players/full/2983.png,LaMarcus Aldridge,15,Texas,"Dallas, TX",210.82,Brooklyn Nets,
Bruce Brown,s:40~l:46~a:4065670,58b07122067e1153355b9bb5309d7624,4065670,"6' 4""",202 lbs,25,SF,1,"$4,736,102",08/15/96,https://a.espncdn.com/i/headshots/nba/players/full/4065670.png,Bruce Brown,2,Miami (FL),"Boston, MA",193.04,Brooklyn Nets,L
Jevon Carter,s:40~l:46~a:3133635,9f154251b367bd8c394aad9175f30518,3133635,"6' 1""",200 lbs,26,PG,0,"$3,650,000",09/14/95,https://a.espncdn.com/i/headshots/nba/players/full/3133635.png,Jevon Carter,2,West Virginia,"Maywood, IL",185.42,Brooklyn Nets,
Nic Claxton,s:40~l:46~a:4278067,2f68e9f3e30bd15451bb0c2a5334860a,4278067,"6' 11""",215 lbs,22,PF,33,"$1,782,621",04/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,Nic Claxton,1,Georgia,"Greenville, SC",210.82,Brooklyn Nets,
Kevin Durant,s:40~l:46~a:3202,dc324fdeeee898e209acd31d8ad9909e,3202,"6' 10""",240 lbs,33,PF,7,"$42,018,900",09/29/88,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,Kevin Durant,13,Texas,"Suitland, MD",208.28,Brooklyn Nets,
Kessler Edwards,s:40~l:46~a:4397693,d6988a51b1f8d74db8427343debf823e,4397693,"6' 7""",203 lbs,21,SF,14,0,08/09/00,https://a.espncdn.com/i/headshots/nba/players/full/4397693.png,Kessler Edwards,0,Pepperdine,"Rancho Cucamonga, CA",200.66,Brooklyn Nets,
Blake Griffin,s:40~l:46~a:3989,11228b90c481c822db3135ddfe61ab84,3989,"6' 9""",250 lbs,32,PF,2,"$1,669,178",03/16/89,https://a.espncdn.com/i/headshots/nba/players/full/3989.png,Blake Griffin,9,Oklahoma,"Oklahoma City, OK",205.74,Brooklyn Nets,R
James Harden,s:40~l:46~a:3992,35b0f455b1df0986121d27d2b6c18122,3992,"6' 5""",220 lbs,32,SG,13,"$44,310,840",08/26/89,https://a.espncdn.com/i/headshots/nba/players/full/3992.png,James Harden,11,Arizona State,"Los Angeles, CA",195.57999999999998,Brooklyn Nets,
Joe Harris,s:40~l:46~a:2528794,654e75253cf08d2953951254860ee186,2528794,"6' 6""",220 lbs,30,SF,12,"$17,357,143",09/06/91,https://a.espncdn.com/i/headshots/nba/players/full/2528794.png,Joe Harris,6,Virginia,"Chelan, WA",198.12,Brooklyn Nets,
Kyrie Irving,s:40~l:46~a:6442,4fb2e3fcad79d9bcddd9bbb09f29ead3,6442,"6' 2""",195 lbs,29,PG,11,"$35,328,700",03/23/92,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,Kyrie Irving,9,Duke,"Melbourne, VIC",187.96,Brooklyn Nets,
James Johnson,s:40~l:46~a:3999,f670d8691536fbd40fb3f09e48429437,3999,"6' 7""",240 lbs,34,PF,16,"$1,669,178",02/20/87,https://a.espncdn.com/i/headshots/nba/players/full/3999.png,James Johnson,12,Wake Forest,"Cheyenne, WY",200.66,Brooklyn Nets,
Patty Mills,s:40~l:46~a:4004,493a55f7fcbaacc2ce8b93994e57fade,4004,"6' 0""",180 lbs,33,PG,8,"$5,890,000",08/11/88,https://a.espncdn.com/i/headshots/nba/players/full/4004.png,Patty Mills,11,Saint Mary's,"Canberra, ACT",182.88,Brooklyn Nets,
Paul Millsap,s:40~l:46~a:3015,a9c367e6c01d7822acb9e11a595abd7e,3015,"6' 7""",257 lbs,36,PF,31,"$1,669,178",02/10/85,https://a.espncdn.com/i/headshots/nba/players/full/3015.png,Paul Millsap,15,Louisiana Tech,"Monroe, LA",200.66,Brooklyn Nets,
Cam Thomas,s:40~l:46~a:4432174,55617f6a-a1fb-326e-8c71-31211dcad955,4432174,"6' 3""",210 lbs,20,SG,24,"$2,036,280",10/13/01,https://a.espncdn.com/i/headshots/nba/players/full/4432174.png,Cam Thomas,0,LSU,"Chesapeake, VA",190.5,Brooklyn Nets,
RJ Barrett,s:40~l:46~a:4395625,92d6ee441fccf0585b219c8dc7d2efde,4395625,"6' 6""",214 lbs,21,SG,9,"$8,623,920",06/14/00,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,RJ Barrett,2,Duke,"Toronto, ON",198.12,New York Knicks,
Alec Burks,s:40~l:46~a:6429,f81289a6fd8e62c7713879f80f21610a,6429,"6' 6""",214 lbs,30,SG,18,"$9,536,000",07/20/91,https://a.espncdn.com/i/headshots/nba/players/full/6429.png,Alec Burks,10,Colorado,"Grandview, MO",198.12,New York Knicks,
Evan Fournier,s:40~l:46~a:6588,a05eed81df72d0ff0ec6f00da4b7757b,6588,"6' 6""",205 lbs,29,SG,13,"$17,000,000",10/29/92,https://a.espncdn.com/i/headshots/nba/players/full/6588.png,Evan Fournier,9,,France,198.12,New York Knicks,
Taj Gibson,s:40~l:46~a:3986,10759c57e920b75abcb943f9ec99c4dc,3986,"6' 9""",232 lbs,36,C,67,"$4,910,000",06/24/85,https://a.espncdn.com/i/headshots/nba/players/full/3986.png,Taj Gibson,12,USC,"Brooklyn, NY",205.74,New York Knicks,
Quentin Grimes,s:40~l:46~a:4397014,dbe4d07d916607d719f052cc771d179d,4397014,"6' 4""",210 lbs,21,SG,6,"$2,168,760",05/08/00,https://a.espncdn.com/i/headshots/nba/players/full/4397014.png,Quentin Grimes,0,Houston,"The Woodlands, TX",193.04,New York Knicks,
Miles McBride,s:40~l:46~a:4431823,cf5535b1df4a5cd622affa93553061a2,4431823,"6' 1""",195 lbs,21,PG,2,"$925,258",09/08/00,https://a.espncdn.com/i/headshots/nba/players/full/4431823.png,Miles McBride,0,West Virginia,"Cincinnati, OH",185.42,New York Knicks,R
Nerlens Noel,s:40~l:46~a:2991280,e5b55e3dff2c1cd1e3ef7ce77ef21c62,2991280,"6' 11""",220 lbs,27,C,3,"$8,000,000",04/10/94,https://a.espncdn.com/i/headshots/nba/players/full/2991280.png,Nerlens Noel,7,Kentucky,"Malden, MA",210.82,New York Knicks,B
Immanuel Quickley,s:40~l:46~a:4395724,4b4c31ede9b7ab2004621919716aaa63,4395724,"6' 3""",190 lbs,22,SG,5,"$2,210,640",06/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4395724.png,Immanuel Quickley,1,Kentucky,"Havre De Grace, MD",190.5,New York Knicks,
Julius Randle,s:40~l:46~a:3064514,cea0d1d3635387c8929ec556ae36dc41,3064514,"6' 8""",250 lbs,27,PF,30,"$21,780,000",11/29/94,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,Julius Randle,7,Kentucky,"Dallas, TX",203.2,New York Knicks,
